Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Lescroart et al Science	10.1126/science.aao4174	Fabienne Lescroart, Xiaonan Wang, Xionghui Lin, Benjamin Swedlund, Souhir Gargouri, Adriana Sànchez-Dànes, Victoria Moignard, Christine Dubois, Catherine Paulissen, Sarah Kinston, Berthold Göttgens, Cédric Blanpain	Science	Defining the earliest step of cardiovascular lineage segregation by single-cell RNA-seq	20180125.0	-	513	Mouse	Heart	Smart-seq2			RNA-seq	Cardiovascular progentors		E6.5, E7.5	5.0							
Martin-Gayo et al GBiology	10.1186/s13059-017-1385-x	Enrique Martin-Gayo, Michael B. Cole, Kellie E. Kolb, Zhengyu Ouyang, Jacqueline Cronin, Samuel W. Kazer, Jose Ordovas-Montanes, Mathias Lichterfeld, Bruce D. Walker, Nir Yosef, Alex K. Shalek, Xu G. Yu	Genome Biol	A Reproducibility-Based Computational Framework Identifies an Inducible, Enhanced Antiviral State in Dendritic Cells from HIV-1 Elite Controllers	20180129.0	-	420	Human		SMARTer	GSE108445		RNA-seq											
Skelly et al CReports	10.1016/j.celrep.2017.12.072	Daniel A. Skelly, Galen T. Squiers, Micheal A. McLellan, Mohan T. Bolisetty, Paul Robson, Nadia A. Rosenthal, Alexander R. Pinto	Cell Reports	Single-Cell Transcriptional Profiling Reveals Cellular Diversity and Intercommunication in the Mouse Heart	20180129.0	10.1101/201970	10,519	Mouse	Heart	Chromium	E-MTAB-6173		RNA-seq	non-myocyte cardiac cells		10 weeks	12.0	Yes				Yes		
Hayashi et al Neuron	10.1016/j.neuron.2018.01.023	Marito Hayashi, Christopher A. Hinckley, Shawn P. Driscoll, Niall J. Moore, Ariel J. Levine, Kathryn L. Hilde, Kamal Sharma, Samuel L. Pfaff	Neuron	Graded Arrays of Spinal and Supraspinal V2a Interneuron Subtypes Underlie Forelimb and Hindlimb Motor Control	20180201.0	-	949	Mouse		Chromium	GSE108788		RNA-seq				11.0	Yes	No	No	Yes	Yes		
Zemmour et al NImmunology	10.1038/s41590-018-0051-0	David Zemmour, Rapolas Zilionis, Evgeny Kiner, Allon M. Klein, Diane Mathis, Christophe Benoist	Nat Immunol	Single-cell gene expression reveals a landscape of regulatory T cell phenotypes shaped by the TCR	20180208.0	-	3,801	Human, Mouse		inDrops & Chromium & CEL-seq			RNA-seq				9.0							
Stevant et al CReports	10.1016/j.celrep.2018.01.043	Isabelle Stévant, Yasmine Neirijnck, Christelle Borel, Jessica Escoffier, Lee B. Smith, Stylianos E. Antonarakis, Emmanouil T. Dermitzakis, Serge Nef	Cell Reports	Deciphering Cell Lineage Specification during Male Sex Determination with Single-Cell RNA Sequencing	20180208.0		400	Mouse	Testis	SMARTer (C1)	GSE97519		RNA-seq	Somatic cells of the embryonic testis		E10.5, E11.5, E12.5, E13.5, E16.5	6.0	Yes	Yes			Yes		
Ruf-Zamojski et al FEndocrinology	10.3389/fendo.2018.00034	Frederique Ruf-Zamojski, Miguel Fribourg, Yongchao Ge, Venugopalan Nair, Hanna Pincas, Elena Zaslavsky, German Nudelman, Stephanie J. Tuminello, Hideo Watanabe, Judith L. Turgeon, Stuart C. Sealfon	Front. Endocrinol.	Regulatory Architecture of the LβT2 Gonadotrope Cell Underlying the Response to Gonadotropin-Releasing Hormone	20180213.0	-	3,881	Mouse		Chromium			RNA-seq				2.0							
Daniszewski et al SData	10.1038/sdata.2018.13	Maciej Daniszewski, Anne Senabouth, Quan H. Nguyen, Duncan E. Crombie, Samuel W. Lukowski, Tejal Kulkarni, Valentin M. Sluch, Jafar S. Jabbari, Xitiz Chamling, Donald J. Zack, Alice Pébay, Joseph E. Powell, Alex W. Hewitt	Sci Data	Single cell RNA sequencing of stem cell-derived retinal ganglion cells	20180213.0	10.1101/191395	1,174	Human	Culture	Chromium	E-MTAB-6108		RNA-seq	ESC derived RGCs										
Vanlandewijck et al Nature	10.1038/nature25739	Michael Vanlandewijck, Liqun He, Maarja Andaloussi Mäe, Johanna Andrae, Koji Ando, Francesca Del Gaudio, Khayrun Nahar, Thibaud Lebouvier, Bàrbara Laviña, Leonor Gouveia, Ying Sun, Elisabeth Raschperger, Markus Räsänen, Yvette Zarb, Naoki Mochizuki, Annika Keller, Urban Lendahl, Christer Betsholtz	Nature	A molecular atlas of cell types and zonation in the brain vasculature	20180213.0		35,000	Mouse	Brain	Smart-seq2	GSE98816		RNA-seq	Blood vascular and vessel-associated cells		Adult								
Torre et al CSystems	10.1016/j.cels.2018.01.014	Eduardo Torre, Hannah Dueck, Sydney Shaffer, Janko Gospocic, Rohit Gupte, Roberto Bonasio, Junhyong Kim, John Murray, Arjun Raj	Cell Systems	Rare Cell Detection by Single-Cell RNA Sequencing as Guided by Single-Molecule RNA FISH	20180214.0	10.1101/138289	8,498	Human, Mouse		Drop-seq			RNA-seq	Melanoma										
Lindstrom et al JASN	10.1681/ASN.2017080890	Nils O. Lindström, Jinjin Guo, Albert D. Kim, Tracy Tran, Qiuyu Guo, Guilherme De Sena Brandine, Andrew Ransick, Riana K. Parvez, Matthew E. Thornton, Laurence Basking, Brendan Grubbs, Jill A. McMahon, Andrew D. Smith, Andrew P. McMahon	JASN	Conserved and Divergent Features of Mesenchymal Progenitor Cell Types within the Cortical Nephrogenic Niche of the Human and Mouse Kidney	20180215.0	-	2,750	Human	Brain	Chromium	GSE102596		RNA-seq	Nephronic cortex			12.0	Yes	No	No	Yes	Yes		
Russel et al eLife	10.7554/eLife.32303	Alistair B Russell, Cole Trapnell, Jesse D Bloom	eLife	Extreme heterogeneity of influenza virus infection in single cells	20180216.0	10.1101/193995	16,754	Human		Chromium			RNA-seq					No	No	No	No	Yes		
Wu et al BioRxiv	10.1101/267849	Bingbing Wu, Yu Li, Yanshan Liu, Kaixiu Jin, Kun Zhao, Chengrui An, Qikai Li, Lin Gong, Wei Zhao, Jinghui Hu, Jianhua Qian, HongWei Ouyang, XiaoHui Zou	bioRxiv	Cell atlas of human uterus	20180220.0	10.1101/267849	2,735	Human	Uterus	Chromium			RNA-seq				32.0	Yes		No	Yes	Yes		
Wang et al MTherapy	10.1016/j.ymthe.2018.02.014	Yuhan Wang, Craig Dorrell, Willscott E. Naugler, Michael Heskett, Paul Spellman, Bin Li, Feorillo Galivo, Annelise Haft, Leslie Wakefield, Markus Grompe	Molecular Therapy	Long-Term Correction of Diabetes in Mice by In Vivo Reprogramming of Pancreatic Ducts	20180221.0	-	485	Mouse	Pancreas	Chromium	GSE109113		RNA-seq	Pancreatic ductal cells			2.0	Yes	Yes	No	Yes	Yes		
Mi et al Science	10.1126/science.aar6821	Da Mi, Zhen Li, Lynette Lim, Mingfeng Li, Monika Moissidis, Yifei Yang, Tianliuyun Gao, Tim Xiaoming Hu, Thomas Pratt, David J. Price, Nenad Sestan, Oscar Marín	Science	Early emergence of cortical interneuron diversity in the mouse embryo	20180222.0		2,003	Mouse	Brain	SMARTer (C1)	GSE109796		RNA-seq	Caudal ganglionic eminence, dorsal and ventral medial ganglionic eminence		E12.5 and E14.5		Yes			Yes	Yes		
Han et al Cell	10.1016/j.cell.2018.02.001	Xiaoping Han, Renying Wang, Yincong Zhou, Lijiang Fei, Huiyu Sun, Shujing Lai, Assieh Saadatpour, Ziming Zhou, Haide Chen, Fang Ye, Daosheng Huang, Yang Xu, Wentao Huang, Mengmeng Jiang, Xinyi Jiang, Jie Mao, Yao Chen, Chenyu Lu, Jin Xie, Qun Fang, Yibin Wang, Rui Yue, Tiefeng Li, He Huang, Stuart H. Orkin, Guo-Cheng Yuan, Ming Chen, Guoji Guo	Cell	Mapping the Mouse Cell Atlas by Microwell-Seq	20180223.0	-	400,000	Mouse	Bladder, Bone Marrow, Brain, Kidney, Liver, Lung, Stomach, Mammary Gland, Gonad, Muscle, Calvaria, Heart, Rib, Skin, Ovary, Pancreas, Blood, Placenta, Prostate, Small Instestine, Spleen, Testis, Uterus, Culture	Microwell-seq	GSE108097		RNA-seq	Mouse organs		Adult	800.0							
Hook et al AJHG	10.1016/j.ajhg.2018.02.001	Paul W. Hook, Sarah A. McClymont, Gabrielle H. Cannon, William D. Law, A. Jennifer Morton, Loyal A. Goff, Andrew S. McCallion	The American Journal of Human Genetics	Single-Cell RNA-Seq of Mouse Dopaminergic Neurons Informs Candidate Gene Selection for Sporadic Parkinson Disease	20180301.0	10.1101/148049	473	Mouse	Brain	Smart-seq2	GSE108020		RNA-seq	Dopaminergic neurons from forebrain, midbrain, and olfactory bulb		Embryonic and postnatal						Yes		
Mayer et al Nature	10.1038/nature25999	Christian Mayer, Christoph Hafemeister, Rachel C. Bandler, Robert Machold, Renata Batista Brito, Xavier Jaglin, Kathryn Allaway, Andrew Butler, Gord Fishell, Rahul Satija	Nature	Developmental diversification of cortical inhibitory interneurons	20180302.0	10.1101/105312	60,000	Mouse	Brain	Chromium & Drop-seq & Smart-seq2	GSE104158		RNA-seq	Cortical inhibitory interneurons		E13.5 to E14.5	3.0		Yes			Yes		
Sasagawa et al GBiology	10.1186/s13059-018-1407-3	Yohei Sasagawa, Hiroki Danno, Hitomi Takada, Masashi Ebisawa, Kaori Tanaka, Tetsutaro Hayashi, Akira Kurisaki, Itoshi Nikaido	Genome Biol	Quartz-Seq2: a high-throughput single-cell RNA-sequencing method that effectively uses limited sequence reads	20180309.0	10.1101/159384	74	Mouse		Quartz-seq2	GSE99866		RNA-seq											
Zhong et al Nature	10.1038/nature25980	Suijuan Zhong, Shu Zhang, Xiaoying Fan, Qian Wu, Liying Yan, Ji Dong, Haofeng Zhang, Long Li, Le Sun, Na Pan, Xiaohui Xu, Fuchou Tang, Jun Zhang, Jie Qiao, Xiaoqun Wang	Nature	A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex	20180313.0	-	2,394	Human	Brain	Smart-seq2	GSE104276		RNA-seq	developing prefrontal cortex			35.0	Yes	Yes	No	No	Yes		Manual with mouth pipette
Dong et al GB	10.1186/s13059-018-1416-2	Ji Dong, Yuqiong Hu, Xiaoying Fan, Xinglong Wu, Yunuo Mao, Boqiang Hu, Hongshan Guo, Lu Wen, Fuchou Tang	Genome Biol	Single-cell RNA-seq analysis unveils a prevalent epithelial/mesenchymal hybrid state during mouse organogenesis	20180314.0	-	1,916	Mouse		STRT-Seq			RNA-seq				12.0							
Cochain et al CircRes	10.1161/CIRCRESAHA.117.312509	Clément Cochain, Ehsan Vafadarnejad, Panagiota Arampatzi, Jaroslav Pelisek, Holger Winkels, Klaus Ley, Dennis Wolf, Antoine-Emmanuel Saliba, Alma Zernecke	Circ Res	Single-Cell RNA-Seq Reveals the Transcriptional Landscape and Heterogeneity of Aortic Macrophages in Murine Atherosclerosis	20180315.0	-	2,576	Mouse	Aorta	GemCode	GSE97310		RNA-seq	aortic CD45+ cells			13.0	Yes	No	No	Yes	Yes		
Rosenberg et al Science	10.1126/science.aam8999	Alexander B. Rosenberg, Charles M. Roco, Richard A. Muscat, Anna Kuchina, Paul Sample, Zizhen Yao, Lucas T. Graybuck, David J. Peeler, Sumit Mukherjee, Wei Chen, Suzie H. Pun, Drew L. Sellers, Bosiljka Tasic, Georg Seelig	Science	Single-cell profiling of the developing mouse brain and spinal cord with split-pool barcoding	20180315.0	10.1101/105163	150,049	Mouse	Brain, Spinal cord	SPLiT-Seq	GSE110823		RNA-seq			Postnatal P2 and P11	113.0					Yes		None
Bergiers et al eLife	10.7554/eLife.29312	Isabelle Bergiers, Tallulah Andrews, Özge Vargel Bölükbaşı, Andreas Buness, Ewa Janosz, Natalia Lopez-Anguita, Kerstin Ganter, Kinga Kosim, Cemre Celen, Gülce Itır Perçin, Paul Collier, Bianka Baying, Vladimir Benes, Martin Hemberg, Christophe Lancrin	eLife	Single-cell transcriptomics reveals a new dynamical function of transcription factors during embryonic hematopoiesis	20180320.0		865	Mouse	Blood, Vasculature	SMARTer (C1) & ICELL8	GSE96986		RNA-seq	Blood and Vascular cells derived from mouse embryonic stem cells										
Pandey et al CBiology	10.1016/j.cub.2018.02.040	Shristi Pandey, Karthik Shekhar, Aviv Regev, Alexander F. Schier	Current Biology	Comprehensive Identification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA-Seq	20180322.0	-	13,299	Zebrafish	Brain	Chromium & Smart-seq2	GSE105115		RNA-seq	Habenular neurons			18.0	Yes	No	No	Yes	Yes		
Magella et al DBiology	10.1016/j.ydbio.2018.03.020	Bliss Magella, Robert Mahoney, Mike Adam, S. Steven Potter	Developmental Biology	Reduced Abd-B Hox function during kidney development results in lineage infidelity	20180326.0	-	15,148	Mouse	Kidney	Drop-seq	GSE109404		RNA-seq	E14.5 Kidney		E14.5	12.0	Yes	No	No	No	No		
Reid et al eLife	10.7554/eLife.33105	Adam J Reid, Arthur M Talman, Hayley M Bennett, Ana R Gomes, Mandy J Sanders, Christopher J R Illingworth, Oliver Billker, Matthew Berriman, Mara KN Lawniczak	eLife	Single-cell RNA-seq reveals hidden transcriptional variation in malaria parasites	20180327.0	10.1101/105015	622	Plasmodium	Whole organism	Smart-seq2			RNA-seq	Malaria			4.0							
Alemany et al Nature	10.1038/nature25969	Anna Alemany, Maria Florescu, Chloé S. Baron, Josi Peterson-Maduro, Alexander van Oudenaarden	Nature	Whole-organism clone tracing using single-cell sequencing	20180327.0		17,643	Zebrafish	Brain	scScarTrace	GSE102990		RNA-seq	Forebrain, midbrain, and hindbrain		Adult								
Dahlin et al Blood	10.1182/blood-2017-12-821413	Joakim S. Dahlin, Fiona K. Hamey, Blanca Pijuan-Sala, Mairi Shepherd, Winnie W. Y. Lau, Sonia Nestorowa, Caleb Weinreb, Samuel Wolock, Rebecca Hannah, Evangelia Diamanti, David G. Kent, Berthold Göttgens, Nicola K. Wilson	Blood	A single-cell hematopoietic landscape resolves 8 lineage trajectories and defects in Kit mutant mice	20180327.0	-	58,617	Mouse	Bone marrow	Chromium & Smart-seq2	GSE107727		RNA-seq	HSPCs										
Raj et al NBT	10.1038/nbt.4103	Bushra Raj, Daniel E Wagner, Aaron McKenna, Shristi Pandey, Allon M Klein, Jay Shendure, James A Gagnon, Alexander F Schier	Nat Biotechnol	Simultaneous single-cell profiling of lineages and cell types in the vertebrate brain	20180328.0		60,000	Zebrafish	Brain	InDrops	GSE105010		RNA-seq	Whole brain		23-25 days post fertilization	100.0							
Colacino et al SReports	10.1016/j.stemcr.2018.03.001	Justin A. Colacino, Ebrahim Azizi, Michael D. Brooks, Ramdane Harouaka, Shamileh Fouladdel, Sean P. McDermott, Michael Lee, David Hill, Julie Madden, Julie Boerner, Michele L. Cote, Maureen A. Sartor, Laura S. Rozek, Max S. Wicha	Stem Cell Reports	Heterogeneity of Human Breast Stem and Progenitor Cells as Revealed by Transcriptional Profiling	20180329.0	-	105	Human	Tumor	SMARTer (C1)			RNA-seq	Breast cancer										
van der Wijst et al NGenetics	10.1038/s41588-018-0089-9	Monique G. P. van der Wijst, LifeLines Cohort Study, Harm Brugge, Dylan H. de Vries, Patrick Deelen, Morris A. Swertz, Lude Franke, BIOS Consortium	Nat Genet	Single-cell RNA sequencing identifies celltype-specific cis-eQTLs and co-expression QTLs	20180329.0	10.1101/177568	28,855	Human	Blood	Chromium			RNA-seq	PBMCs			11.0							
Biase et al iScience	10.1016/j.isci.2018.08.009	Fernando Biase, Qiuyang Wu, Riccardo Calandrelli, Marcelo Rivas-Astroza, Shuigeng Zhou, Sheng Zhong	iScience	Rainbow-seq: combining cell lineage tracking with single-cell RNA sequencing in preimplantation embryos	20180402.0	10.1101/293134	67	Mouse		Rainbow-seq			RNA-seq											
Cauli et al JNeuroscience	10.1523/JNEUROSCI.17-10-03894.1997	Bruno Cauli, Etienne Audinat, Bertrand Lambolez, Maria Cecilia Angulo, Nicole Ropert, Keisuke Tsuzuki, Shaul Hestrin, Jean Rossier	J. Neurosci.	Molecular and Physiological Diversity of Cortical Nonpyramidal Cells	20180403.0		97	Mouse	Brain	sc-RT-mPCR		30	qPCR	Cerebral cortex		21-27 days	3.0	Yes	No	No	No	No		Patch-clamp
Södersten et al NCommunications	10.1038/s41467-018-03538-9	Erik Södersten, Konstantinos Toskas, Vilma Rraklli, Katarina Tiklova, Åsa K. Björklund, Markus Ringnér, Thomas Perlmann, Johan Holmberg	Nat Commun	A comprehensive map coupling histone modifications with gene regulation in adult dopaminergic and serotonergic neurons	20180404.0		98	Mouse	Brain	Smart-seq2	GSE107656		RNA-seq	Dopaminergic and serotonergic neurons from midbrain										
Rizzetto et al Bioinformatics	10.1093/bioinformatics/bty203	Simone Rizzetto, David N P Koppstein, Jerome Samir, Mandeep Singh, Joanne H Reed, Curtis H Cai, Andrew R Lloyd, Auda A Eltahla, Christopher C Goodnow, Fabio Luciani	Bioinformatics	B-cell receptor reconstruction from single-cell RNA-seq with VDJPuzzle	20180404.0	10.1101/181156	117	Human		Smart-seq2	E-MTAB-6386		RNA-seq	B cells			1.0	No	No	No	No	No		
Spanjaard et al NBT	10.1038/nbt.4124	Bastiaan Spanjaard, Bo Hu, Nina Mitic, Pedro Olivares-Chauvet, Sharan Janjuha, Nikolay Ninov, Jan Philipp Junker	Nat Biotechnol	Simultaneous lineage tracing and cell-type identification using CRISPR–Cas9-induced genetic scars	20180412.0		70,000	Zebrafish	Whole organism	LINNAEUS	GSE106121		RNA-seq	Whole organism		5 days post fertilization								
Tata et al CSC	10.1016/j.stem.2018.03.018	Aleksandra Tata, Yoshihiko Kobayashi, Ryan D. Chow, Jasmine Tran, Avani Desai, Abdull J. Massri, Timothy J. McCord, Michael Dee Gunn, Purushothama Rao Tata	Cell Stem Cell	Myoepithelial Cells of Submucosal Glands Can Function as Reserve Stem Cells to Regenerate Airways after Injury	20180412.0	-	317	Mouse	Lung	Chromium	GSE111598		RNA-seq	airway myoepithelial cells			5.0	Yes	No	No	No	Yes		
Kamme et al JNeurosci	10.1523/JNEUROSCI.23-09-03607.2003	Fredrik Kamme, Ranelle Salunga, Jingxue Yu, Da-Thao Tran, Jessica Zhu, Lin Luo, Anton Bittner, Hong-Qing Guo, Nancy Miller, Jackson Wan, Mark Erlander	J. Neurosci.	Single-Cell Microarray Analysis in Hippocampus CA1: Demonstration and Validation of Cellular Heterogeneity	20180413.0	-	12	Rat	Brain	aRNA amplification		4,529	Microarray	CA1 neurons from hippocampus			2.0	Yes						LCM
Plass et al Science	10.1126/science.aaq1723	Mireya Plass, Jordi Solana, F. Alexander Wolf, Salah Ayoub, Aristotelis Misios, Petar Glažar, Benedikt Obermayer, Fabian J. Theis, Christine Kocks, Nikolaus Rajewsky	Science	Cell type atlas and lineage tree of a whole complex animal by single-cell transcriptomics	20180419.0	-	21,612	Schmidtea mediterranea		Drop-seq			RNA-seq				51.0	Yes	No	Yes	Yes	Yes		
Fincher et al Science	10.1126/science.aaq1736	Christopher T. Fincher, Omri Wurtzel, Thom de Hoog, Kellie M. Kravarik, Peter W. Reddien	Science	Cell type transcriptome atlas for the planarianSchmidtea mediterranea	20180419.0	-	68,783	Planarian	Whole organism	Drop-seq	GSE111764		RNA-seq	Whole organism		Adult								
Häring et al NNeuroscience	10.1038/s41593-018-0141-1	Martin Häring, Amit Zeisel, Hannah Hochgerner, Puneet Rinwa, Jon E. T. Jakobsson, Peter Lönnerberg, Gioele La Manno, Nilesh Sharma, Lotta Borgius, Ole Kiehn, Malin C. Lagerström, Sten Linnarsson, Patrik Ernfors	Nat Neurosci	Neuronal atlas of the dorsal horn defines its architecture and links sensory input to transcriptional cell types	20180420.0	-	3,273	Mouse		STRT-Seq (C1)			RNA-seq				30.0							
Buenrostro et al Cell	10.1016/j.cell.2018.03.074	Jason D. Buenrostro, M. Ryan Corces, Caleb A. Lareau, Beijing Wu, Alicia N. Schep, Martin J. Aryee, Ravindra Majeti, Howard Y. Chang, William J. Greenleaf	Cell	Integrated Single-Cell Analysis Maps the Continuous Regulatory Landscape of Human Hematopoietic Differentiation	20180426.0	-	7,818	Human		Chromium			RNA-seq				14.0							
Zirkel et al MCell	10.1016/j.molcel.2018.03.030	Anne Zirkel, Milos Nikolic, Konstantinos Sofiadis, Jan-Philipp Mallm, Chris A. Brackley, Henrike Gothe, Oliver Drechsel, Christian Becker, Janine Altmüller, Natasa Josipovic, Theodore Georgomanolis, Lilija Brant, Julia Franzen, Mirjam Koker, Eduardo G. Gusmao, Ivan G. Costa, Roland T. Ullrich, Wolfgang Wagner, Vassilis Roukos, Peter Nürnberg, Davide Marenduzzo, Karsten Rippe, Argyris Papantonis	Molecular Cell	HMGB2 Loss upon Senescence Entry Disrupts Genomic Organization and Induces CTCF Clustering across Cell Types	20180426.0	-	13,602	Human	Umbilical vein	Chromium	GSE102090		RNA-seq	Umbilical vein endothelial cells			4.0	Yes	Yes	No	Yes	Yes		
Wagner et al Science	10.1126/science.aar4362	Daniel E. Wagner, Caleb Weinreb, Zach M. Collins, James A. Briggs, Sean G. Megason, Allon M. Klein	Science	Single-cell mapping of gene expression landscapes and lineage in the zebrafish embryo	20180426.0	-	92,000	Zebrafish	Embryo	InDrops	GSE112294		RNA-seq	Zebrafish embryos		4hpf, 6hpf, 8hpf, 10hpf, 14hpf, 18hpf, 24hpf	50.0							
Briggs et al Science	10.1126/science.aar5780	James A. Briggs, Caleb Weinreb, Daniel E. Wagner, Sean Megason, Leonid Peshkin, Marc W. Kirschner, Allon M. Klein	Science	The dynamics of gene expression in vertebrate embryogenesis at single-cell resolution	20180426.0	-	137,000	Frog	Whole organism	InDrops			RNA-seq	Whole organism embryos		S8, S10, S11, S12, S13, S14, S16, S18, S20, S22	259.0							
Farrell et al Science	10.1126/science.aar3131	Jeffrey A. Farrell, Yiqun Wang, Samantha J. Riesenfeld, Karthik Shekhar, Aviv Regev, Alexander F. Schier	Science	Single-cell reconstruction of developmental trajectories during zebrafish embryogenesis	20180426.0	-	38,731	Zebrafish	Embryo	Drop-seq & SMART-seq	GSE106587		RNA-seq	Whole embryo			30.0	Yes	Yes	No	No	Yes		
Tosches et al Science	10.1126/science.aar4237	Maria Antonietta Tosches, Tracy M. Yamawaki, Robert K. Naumann, Ariel A. Jacobi, Georgi Tushev, Gilles Laurent	Science	Evolution of pallium, hippocampus, and cortical cell types revealed by single-cell transcriptomics in reptiles	20180503.0		23,015	Lizard, Turtle	Brain	Drop-seq	PRJNA408230		RNA-seq	Pallium, hippocampus, and cortex		Adult								
Shah et al Cell	10.1016/j.cell.2018.03.063	Prajay T. Shah, Jo A. Stratton, Morgan Gail Stykel, Sepideh Abbasi, Sandeep Sharma, Kyle A. Mayr, Kathrin Koblinger, Patrick J. Whelan, Jeff Biernaskie	Cell	Single-Cell Transcriptomics and Fate Mapping of Ependymal Cells Reveals an Absence of Neural Stem Cell Function	20180503.0	-	1,700	Mouse	Brain	Chromium	GSE100320		RNA-seq	SVZ ependymal cells		Adult	9.0	Yes	No	No	Yes	Yes		
